filename,title,description,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10
accordFinal.jpg,Accord,My first attempt at 3 ISO blanketed effects,2016,Flemington,Thatcher's Hill,XE-1
afternoonSnow.jpg,Snowy afternoon,Taken after coming home early form work due to an approaching snow storm. I set the camera up in the window because I liked what I saw.,2017,Bridgewater,XE-1,Winter,,,,,,
albany.jpg,NY Capital,Albany Capital building,Albany,Travel,City,2018,Summer,XE-1,,,,
albany2.jpg,NY Capital,Out front of Albany Capital building,Albany,Travel,City,2018,Summer,XE-1,,,,
americanFalls.jpg,Niagara,The American side,Niagara Falls,Travel,Nature,Canada,Ontario,2018,XE-1,,,
arlington.jpg,National Cemetary,Arlington National Cemetary in DC,Travel,2014,Nature,XE-1,,,,,,
austereAlbany.jpg,Albany,Some cool looking buildings I saw in Albany NY.,Travel,Albany,Nighttime,City,2018,XE-1,,,,
batterUp.jpg,Somerset Patriots,Taking in a baseball game in Bridgewater.,Sports,2018,Bridgewater,XE-1,,,,,,
bean.jpg,Chicago Bean,I never cared very much for this piece of modern art. Seeing it in person didn't change that.,Chicago,Illinois,Art,Summer,2019,XT-3,,,,
booCat.jpg,Cat,My silly kitty,Boo Cat,Animals,2018,XE-1,,,,,,
bottles.jpg,Some bottles,This was an early snapshot I took not long after receiving my first 'professional' camera. I thought the bottles looked neat.,2014,Flemington,XE-1,,,,,,,
brandy.jpg,Dog,Another early picture I took of our dog Brandy.,Animals,XE-1,2014,,,,,,,
brownKitten.jpg,Brown Kitten,This picture was taken towards his final few weeks. He's starting to really show his wear.,Animals,XE-1,2015,,,,,,,
buckinghamFountain.jpg,Fountain,Buckingham Fountain in Chicago. I am really happy with how this turned out.,Chicago,Illinois,Art,2019,XT-3,,,,,
butterfly.jpg,Butterfly,An up-close shot of a friendly butterfly in Niagara Falls butterfly conservatory.,Animals,Nature,Canada,XE-1,2018,,,,,
canadaParliament.jpg,Ottawa,The Parliament building in Ottawa. I think I went a little overboard in post processing.,Travel,Canada,Ontario,Spring,Art,2019,XE-1,,,
chicago.jpg,Skyline,Took this while walking around near the shore.,Chicago,Skyline,City,Summer,2019,XT-3,,,,
chicagoRiver.jpg,River,Snapped this as I was biking back after a night of exploring.,Chicago,City,Illinois,Summer,2019,XT-3,Nighttime,,,
chicagoSkyline.jpg,Second City,Took this around Thanksgiving on a beach south of Chicago.,Chicago,City,Illinois,Skyline,Nighttime,2019,XT-3
chiTown.jpg,Chicago Dusk,Taken from my first apartment rooftop in Chicago.,Chicago,Skyline,City,Illinois,Summer,2019,XT-3,,,
christmasKitty.jpg,Xmas Kitty,Boo Cat looking festive for the holidays.,Animals,Boo Cat,Winter,Christmas,Bridgewater,XE-1,2018,,,
christmasTreeVillage.jpg,Smithville,Some lights in the Smithville area near Stockton University.,Smithville,Stockton,2019,Winter,XE-1,,,,,
cnTowerView.jpg,Northwards,View looking north from the top of the CN Tower in Toronto.,Toronto,Ontario,City,Canada,Skyline,2019,XE-1,,,
colorfulWaterfall.jpg,Ribbon Candy,A long exposure of the falls.,Niagara Falls,Canada,Nature,Summer,XE-1,2018,,,,
corncob.jpg,Silly Squirrel,This squirrel was really pigging out.,Animals,Nature,Bridgewater,2018,XE-1,,,,,
emptyLot.jpg,Empty,I took this at night when they were preparing to repave the apartment parking lot. I figured there would not be many opportunities to see it so empty so I took a picture.,Bridgewater,2018,XE-1,Nighttime,,,,,,
fallScene.jpg,Festive,A little display of some fall decorations I had recently purchased.,Autumn,Halloween,2018,Bridgewater,XE-1,,,,,
flemington.jpg,Flemington From Above,A good bird's eye drone picture of Flemington NJ.,Drone Shot,Drone,Aerial,Flemington,2019,,,,,
frontenac.jpg,Chataeu Frontenac,The Chateau Frontenax in Quebec City.,Quebec,Travel,Canada,City,Art,2019,XE-1,,,
grandviewGardens.jpg,Grand View,I like the almost symetricality of this one.,Drone,Aerial,Bridgewater,Spring,2019,,,,,
greatSwamp.jpg,Swampy,In the Great Swamp National Wildlife refuge in NJ.,Nature,Spring,2019,XE-1,,,,,,
home.jpg,Home,The house I grew up in from about 50 feet up.,Drone,Aerial,Spring,2019,Flemington,,,,,
homeFromAbove.jpg,Above,Looking down at the house I grew up in.,Drone,Aerial,Flemington,2019,,,,,,
horseshoeFalls.jpg,Horseshoe,The Canadian side - Horshoe Falls.,Niagara Falls,Travel,Canada,Nature,2019,Spring,XE-1,,,
ice.jpg,Icy,This is of a frozen lake taken with a drone. I believe I am looking at the ice from about 30 feet up.,Drone,Aerial,Martinsville,Winter,2019,,,,,
jam.jpg,Drums,Getting ready to jam at the old place.,Thatcher's Hill,Music,People,2015,XE-1,,,,,
lakeAtNight.jpg,Six Mile Lake,My first time playing around with long exposures for night shots.,Nighttime,Canada,Travel,Nature,Summer,2015,XE-1,,,
lasers.jpg,Washington Rock,Bit of a longer exposure to get some light trails.,Nighttime,Nature,Martinsville,Summer,2018,XE-1,,,,
lonelyBoat.jpg,Lonely,Some more nighttime photography at the Lake in Canada.,Canada,Travel,Nighttime,Nature,Summer,2015,XE-1,,,
manvilleTheatre.jpg,Sully,Outside the Manville movie theatres after seeing Sully.,Nighttime,City,Bridgewater,Autumn,2016,XE-1,,,,,
midland.jpg,Midland,Midland Ontario.,Toronto,Travel,Canada,2012,XE-1,,,,,
monteCarlo.jpg,Monte,The old standby a 1999 Monte Carlo Z34,Cars,Thatcher's Hill,Summer,2015,XE-1,,,,,
monteCarloSS.jpg,1985 Monte Carlo SS,This car was fun to play with but ultimately was a mistake to buy.,Cars,2014,Summer,Flemington,XE-1,,,,,
montmorency.jpg,Waterfall,Montmorency waterfall outside of Quebec City.,Drone,Aerial,Queubec,Travel,Canada,2019,,,,
niagara.jpg,Niagara,More Niagara Falls photography.,Niagara Falls,Nature,Travel,Canada,Summer,2019,XE-1,,,
niagaraFalls.jpg,Niagara Falls,The city of Niagara Falls this time. The Canadian side.,Niagara Falls,Skyline,Nature,Travel,Canada,Summer,2019,XE-1,,
niagaraFalls2.jpg,Niagara Falls,Some more of the falls.,Niagara Falls,Canada,Nature,Summer,2019,XE-1,,,,
niagaraSkyline.jpg,Niagara Falls,Some more of the skyline.,Niagara Falls,Canada,City,Skyline,Nighttime,Summer,2019,XE-1,,
